,Unnamed: 0,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount,isbn,price,currency,description,thumbnail
20,20,United States Department of Commerce Telephone Directory,['United States. Dept. of Commerce'],en,,,NOT_MATURE,,1991,,IND:30000088239623,-1,N/A,N/A,http://books.google.com/books/content?id=M_PB64VKkIIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
21,21,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,2016-04-19,528.0,9781420031348,-1,N/A,"The goals of an IT balanced scorecard include the alignment of IT plans with business objectives, the establishment of measures of IT effectiveness, the directing of employee efforts toward IT objectives, the improved performance of technology, and the achievement of balanced results across stakeholder groups. CIOs, CTOs, and other technical manage",http://books.google.com/books/content?id=JufLBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
22,22,Technology Trendlines,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,John Wiley & Sons,1995-08-09,394.0,0471286923,-1,N/A,"This book demonstrates how businesses can take advantage of today's advanced technologies and emerging information technology trends. Includes formulas, case studies, and strategies that show managers how to follow in the footsteps of today's corporate visionaries from such companies as Hewlett-Packard, Sprint, and Digital.",http://books.google.com/books/content?id=JcmV0wfQEoYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
23,23,Biography and Genealogy Master Index,,en,['Biography'],,NOT_MATURE,,1997,,0787640565,-1,N/A,"The Biography and Genealogy Master Index is designed to help you easily determine which publication to consult for biographical information. Indexed sources cover both living and deceased persons from every field of activity and from every country in the world. Typically current, readily available, standard reference works are indexed. Look for supplement volume updates to this valuable biographical research tool twice a year. These volumes are cumulated every five years.More than 15 million citations compiled from more than 5,000 editions and volumes of approximately 1,700 current and retrospective biographical sources are included in the Biography and Genealogy Master Index base set and its supplements. In total, Biography and Genealogy Master Index provides coverage of nearly 5 million contemporary and historical figures.",http://books.google.com/books/content?id=-AmZpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
24,24,Technical Paper - Bureau of Mines,['United States. Bureau of Mines'],en,['Mineral industries'],,NOT_MATURE,,1931,,OCLC:1722686,-1,N/A,N/A,N/A
25,25,The Corporate Directory of US Public Companies 1995,['Elizabeth Walsh'],en,['Business & Economics'],,NOT_MATURE,Springer,2016-06-11,2664.0,1349138924,-1,N/A,N/A,N/A
26,26,"The National Deans List, 1997-98",,en,['Students'],3.0,NOT_MATURE,,1998,832.0,UCAL:B5180580,-1,N/A,N/A,http://books.google.com/books/content?id=WI5IAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
27,27,Who's who in Technology,,en,['Technologists'],,NOT_MATURE,,1986,,UCSC:32106021023749,-1,N/A,N/A,http://books.google.com/books/content?id=DRk7AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
28,28,The United States Patents Quarterly,,en,['Copyright'],,NOT_MATURE,,1996,,NYPL:33433108734538,-1,N/A,"Report of cases relating to patents, trade marks, copyrights decided by Supreme Court of the United States, United States Circuit courts of appeals, District courts of the United States, United States Court of Customs and Patent Appeals, Court of Claims of the United States, United States Court of Appeals for the District of Columbia, Commissioner of Patents and Patent Office Board of Appeals.",http://books.google.com/books/content?id=aEPHdQYCwH4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
29,29,ACSA Annual Directory,['Association of Collegiate Schools of Architecture'],en,['Architecture'],,NOT_MATURE,,1991,,UOM:39015020400258,-1,N/A,N/A,http://books.google.com/books/content?id=2RJQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
30,30,"World War II: the Encyclopedia of the War Years, 1941-1945","['Norman Polmar', 'Thomas B. Allen']",en,['History'],1.0,NOT_MATURE,Courier Corporation,2012-08-15,940.0,9780486479620,-1,N/A,"This authoritative and comprehensive survey features over 2,400 entries. Subjects range from battles, soldiers, and military activities to politics, culture, and the Holocaust. Enlivened by 85 illustrations, its panoramic perspective encompasses WWII's enduring influences on the American way of life. ""A unique and valuable look at the war.""—General James Doolittle",http://books.google.com/books/content?id=30gRAGjXrIIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
31,31,Bulletin - New Mexico Bureau of Mines & Mineral Resources,['New Mexico. Bureau of Mines and Mineral Resources'],en,['Geology'],,NOT_MATURE,,1915,,MINN:31951P00234518O,-1,N/A,N/A,http://books.google.com/books/content?id=s7ZMAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
32,32,Whitaker's Five-year Cumulative Book List,,en,['English literature'],,NOT_MATURE,,1968,,UCAL:B5158347,-1,N/A,N/A,http://books.google.com/books/content?id=vXZJAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
33,33,American Predator,['Maureen Callahan'],en,['True Crime'],4.0,NOT_MATURE,Penguin,2019-07-02,304.0,9780698191068,-1,N/A,"INSTANT NEW YORK TIMES BESTSELLER An Amazon “Best Book of 2019” A Washington Post “10 Books To Read in July” A Los Angeles Times “Seven Highly Anticipated Books for Summer Reading” A USA Today “20 of the Season’s Hottest New Books” A New York Post “25 Best Beach Reads of 2019 You Need to Pre-Order Now” A Bustle “The Best New True Crime Books You Can Read Right Now” “Maureen Callahan’s deft reporting and stylish writing have created one of the all-time-great serial-killer books: sensitive, chilling, and completely impossible to put down.” —Ada Calhoun, author of St. Marks Is Dead Ted Bundy. John Wayne Gacy. Jeffrey Dahmer. The names of notorious serial killers are usually well-known; they echo in the news and in public consciousness. But most people have never heard of Israel Keyes, one of the most ambitious and terrifying serial killers in modern history. The FBI considered his behavior unprecedented. Described by a prosecutor as ""a force of pure evil,"" Keyes was a predator who struck all over the United States. He buried ""kill kits""--cash, weapons, and body-disposal tools--in remote locations across the country. Over the course of fourteen years, Keyes would fly to a city, rent a car, and drive thousands of miles in order to use his kits. He would break into a stranger's house, abduct his victims in broad daylight, and kill and dispose of them in mere hours. And then he would return home to Alaska, resuming life as a quiet, reliable construction worker devoted to his only daughter. When journalist Maureen Callahan first heard about Israel Keyes in 2012, she was captivated by how a killer of this magnitude could go undetected by law enforcement for over a decade. And so began a project that consumed her for the next several years--uncovering the true story behind how the FBI ultimately caught Israel Keyes, and trying to understand what it means for a killer like Keyes to exist. A killer who left a path of monstrous, randomly committed crimes in his wake--many of which remain unsolved to this day. American Predator is the ambitious culmination of years of interviews with key figures in law enforcement and in Keyes's life, and research uncovered from classified FBI files. Callahan takes us on a journey into the chilling, nightmarish mind of a relentless killer, and to the limitations of traditional law enforcement.",http://books.google.com/books/content?id=2uV8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
34,34,Whitaker's Cumulative Book List,,en,['Great Britain'],,NOT_MATURE,,1961,,UOM:39015079753524,-1,N/A,N/A,http://books.google.com/books/content?id=I9rfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
35,35,"Business Organizations, Keyed to Soderquist",['Casenotes'],en,['Business & Economics'],,NOT_MATURE,Aspen Publishers Online,2006-01-20,208.0,0735556334,-1,N/A,"For over two decades, Casenote Legal Briefs have helped hundreds of thousands of students prepare for classes and exams year after year with unparalleled results. Known throughout the law school community as high-quality legal study aids, Casenotes popular series of legal briefs are the most comprehensive legal briefs available today. With over 100 Casenotes published today in all key areas, ranging from Administrative Law to Wills, Trusts, and Estates each and every Casenote offers: professionally written briefs of the cases in your casebook coverage that is accurate and up-to-date editor's analysis explaining the relevance of each case to the course coverage built on decades of experience the highest commitment to quality Order all your Casenotes online today at www.casenotes.com! And don't forget Aspen's other popular study aids:www.aspenpublishers.com",N/A
36,36,Next-Generation Biofuels,['William T. Coyle'],en,['Alcohol as fuel'],,NOT_MATURE,DIANE Publishing,2010-09,26.0,9781437933482,-1,N/A,"Assesses the short-term outlook for production of next-generation biofuels and the near-term challenges facing the sector. Next-generation U.S. biofuel capacity should reach about 88 mill. gal. in 2010, thanks to one plant becoming commercially operational in 2010, using non-cellulosic animal fat to produce green diesel. U.S. production capacity for cellulosic biofuels is estimated to be 10 mill. gal. for 2010, much less than the 100 mill. gal. originally mandated in 2007. Near-term sector challenges include reducing high capital and production costs, acquiring financial resources for pre-commercial development, developing new biomass supply arrangements, and overcoming the constraints of ethanol¿s current 10-percent blending limit with gasoline. Charts and tables.",http://books.google.com/books/content?id=phH7RtlARLUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
37,37,"Casenote Legal Briefs for Business Organizations, Keyed to Smiddy and Cunningham",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2011-03-15,252.0,1454803266,-1,N/A,"After your casebook, a Casenote Legal Brief is your most important reference source for the entire semester. The series is trusted for its expert summary of the principal cases in your casebook. Its proven reliability makes Casenote Legal Briefs the most popular case brief series available. With more than 100 titles keyed to the current editions of major casebooks, you know you can find the help you need. The brief for each case saves you time and helps you retain important issues. Each brief has a succinct statement of the rule of law/black letter law, description of the facts, and important points of the holding and decision. Quicknotes are short definitions of the legal terms used at the end of each brief. Use the Glossary in the end of your text to define common Latin legal terms. Such an overview, combined with case analysis, helps broaden your understanding and supports you in classroom discussion. Each title is keyed to the current edition of a specific casebook; it s your trusted guide to the text throughout the semester. The brief for each principal case in the casebook saves you time and helps you retain important issues. Each brief has a succinct statement of the rule of law/black letter law, description of the facts, important points of the holding and decision, and concurrences and dissents included in the casebook excerpt. This overview is combined with a short analysis: all to help you broaden your understanding and support you in classroom discussion. Quicknotes at end of each brief give you short definitions of the legal terms used. A handy Glossary of common Latin words and phrases is included in every Casenote. Detailed instruction on how to brief a case is provided for you. A free Quick Course Outline accompanies all Casenote Legal Briefs in these course areas: Civil Procedure, Constitutional Law, Contracts, Criminal Law, Criminal Procedure, Evidence, Property, and Torts.",http://books.google.com/books/content?id=eLd9YgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
38,38,No Oath Sworn,['Phil Geusz'],en,['Fiction'],,NOT_MATURE,Lulu.com,2012-12-01,226.0,1612352340,-1,N/A,N/A,http://books.google.com/books/content?id=FHTnzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
39,39,Southern Writers,"['Joseph M. Flora', 'Amber Vogel']",en,['Reference'],,NOT_MATURE,LSU Press,2006-06-21,504.0,UOM:39015063046281,-1,N/A,N/A,http://books.google.com/books/content?id=XRgDAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
40,40,Therapist's Guide to Positive Psychological Interventions,['Jeana L. Magyar-Moe'],en,['Psychology'],,NOT_MATURE,Academic Press,2009-07-30,200.0,0080923011,-1,N/A,"Positive psychology - essentially the scientific study of the strengths that enable individuals and communities to thrive - is a relatively new discipline that has experienced substantial growth in the last 5-10 years. Research suggests that the principles and theories from this area of study are highly relevant to the practice of counseling and psychotherapy, and positive psychology presents clinicians and patients with a much needed balance to the more traditional focus on pathology and the disease model of mental health. This book provides a comprehensive introduction to the best-researched positive psychological interventions. It emphasizes clinical application, providing a detailed view of how the research can be applied to patients. Covering the broaden-and-build theory, strengths-based therapy, mentoring modalities and more, the volume will provide numerous assessment tools, exercises and worksheets for use throughout the counseling and psychotherapy process. - Summarizes the applications of research from positive psychology to the practice of counseling and psychotherapy - Provides clinician a variety of assessments, worksheets, handouts, and take home and in-session exercises to utilize in the process of conducting therapy from a positive psychological perspective - Provides general treatment planning guidelines for the appropriate use of such assessments, worksheets, handouts, and exercises - Bibliography of positive psychology references to compliment the information provided in this book",http://books.google.com/books/content?id=B_j-ZTAJ-CUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
